Data as of,Start Date,End Date,Group,Year,Month,MMWR Week,Week Ending Date,State,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
01/21/2021,12/29/2019,01/04/2020,By Week,,,1,01/04/2020,United States,2,"60,163",98,"4,105",2,434,"4,539",
01/21/2021,01/05/2020,01/11/2020,By Week,2020,,2,01/11/2020,United States,0,"60,712",97,"4,151",0,475,"4,626",
01/21/2021,01/12/2020,01/18/2020,By Week,2020,,3,01/18/2020,United States,3,"59,351",97,"4,063",2,467,"4,531",
01/21/2021,01/19/2020,01/25/2020,By Week,2020,,4,01/25/2020,United States,2,"59,141",99,"3,916",1,499,"4,416",
01/21/2021,01/26/2020,02/01/2020,By Week,2020,,5,02/01/2020,United States,0,"58,800",99,"3,815",0,481,"4,296",
01/21/2021,02/02/2020,02/08/2020,By Week,2020,,6,02/08/2020,United States,1,"59,369",99,"3,811",0,521,"4,333",
01/21/2021,02/09/2020,02/15/2020,By Week,2020,,7,02/15/2020,United States,0,"58,786",100,"3,838",0,560,"4,398",
01/21/2021,02/16/2020,02/22/2020,By Week,2020,,8,02/22/2020,United States,4,"58,865",101,"3,711",1,566,"4,280",
01/21/2021,02/23/2020,02/29/2020,By Week,2020,,9,02/29/2020,United States,9,"59,270",103,"3,833",5,655,"4,492",
01/21/2021,03/01/2020,03/07/2020,By Week,2020,,10,03/07/2020,United States,36,"59,636",103,"3,975",18,635,"4,627",
01/21/2021,03/08/2020,03/14/2020,By Week,2020,,11,03/14/2020,United States,56,"58,634",103,"3,969",28,626,"4,622",
01/21/2021,03/15/2020,03/21/2020,By Week,2020,,12,03/21/2020,United States,574,"59,166",104,"4,545",250,559,"5,421",
01/21/2021,03/22/2020,03/28/2020,By Week,2020,,13,03/28/2020,United States,"3,173","62,968",113,"6,181","1,434",445,"8,314",
01/21/2021,03/29/2020,04/04/2020,By Week,2020,,14,04/04/2020,United States,"10,058","72,237",129,"9,925","4,765",478,"15,461",
01/21/2021,04/05/2020,04/11/2020,By Week,2020,,15,04/11/2020,United States,"16,228","79,013",143,"12,001","7,233",473,"21,130",
01/21/2021,04/12/2020,04/18/2020,By Week,2020,,16,04/18/2020,United States,"17,100","76,700",142,"11,400","7,315",265,"21,261",
01/21/2021,04/19/2020,04/25/2020,By Week,2020,,17,04/25/2020,United States,"15,467","73,830",138,"10,383","6,610",144,"19,287",
01/21/2021,04/26/2020,05/02/2020,By Week,2020,,18,05/02/2020,United States,"13,175","69,232",129,"8,946","5,516",65,"16,650",
01/21/2021,05/03/2020,05/09/2020,By Week,2020,,19,05/09/2020,United States,"11,196","66,760",127,"7,833","4,711",48,"14,356",
01/21/2021,05/10/2020,05/16/2020,By Week,2020,,20,05/16/2020,United States,"9,186","64,423",123,"6,775","3,782",21,"12,197",
01/21/2021,05/17/2020,05/23/2020,By Week,2020,,21,05/23/2020,United States,"7,202","61,560",118,"5,893","2,973",24,"10,141",
01/21/2021,05/24/2020,05/30/2020,By Week,2020,,22,05/30/2020,United States,"6,140","59,613",115,"5,276","2,486",12,"8,942",
01/21/2021,05/31/2020,06/06/2020,By Week,2020,,23,06/06/2020,United States,"5,019","58,822",112,"4,896","2,148",11,"7,778",
01/21/2021,06/07/2020,06/13/2020,By Week,2020,,24,06/13/2020,United States,"4,217","57,960",112,"4,540","1,859",11,"6,906",
01/21/2021,06/14/2020,06/20/2020,By Week,2020,,25,06/20/2020,United States,"3,821","57,915",112,"4,364","1,603",8,"6,589",
01/21/2021,06/21/2020,06/27/2020,By Week,2020,,26,06/27/2020,United States,"3,808","58,414",114,"4,260","1,553",12,"6,526",
01/21/2021,06/28/2020,07/04/2020,By Week,2020,,27,07/04/2020,United States,"4,510","59,739",115,"4,556","1,999",5,"7,069",
01/21/2021,07/05/2020,07/11/2020,By Week,2020,,28,07/11/2020,United States,"5,744","61,821",121,"5,529","2,708",10,"8,574",
01/21/2021,07/12/2020,07/18/2020,By Week,2020,,29,07/18/2020,United States,"7,148","63,049",124,"6,179","3,444",13,"9,893",
01/21/2021,07/19/2020,07/25/2020,By Week,2020,,30,07/25/2020,United States,"8,178","64,112",127,"6,746","3,950",11,"10,980",
01/21/2021,07/26/2020,08/01/2020,By Week,2020,,31,08/01/2020,United States,"8,258","64,074",126,"6,831","4,061",13,"11,034",
01/21/2021,08/02/2020,08/08/2020,By Week,2020,,32,08/08/2020,United States,"7,809","63,541",124,"6,795","3,968",9,"10,642",
01/21/2021,08/09/2020,08/15/2020,By Week,2020,,33,08/15/2020,United States,"7,207","63,409",125,"6,492","3,665",5,"10,036",
01/21/2021,08/16/2020,08/22/2020,By Week,2020,,34,08/22/2020,United States,"6,332","62,262",123,"5,954","3,207",12,"9,088",
01/21/2021,08/23/2020,08/29/2020,By Week,2020,,35,08/29/2020,United States,"5,671","60,779",119,"5,527","2,869",11,"8,335",
01/21/2021,08/30/2020,09/05/2020,By Week,2020,,36,09/05/2020,United States,"4,936","59,756",117,"5,165","2,483",9,"7,623",
01/21/2021,09/06/2020,09/12/2020,By Week,2020,,37,09/12/2020,United States,"4,517","59,037",114,"4,887","2,251",7,"7,158",
01/21/2021,09/13/2020,09/19/2020,By Week,2020,,38,09/19/2020,United States,"4,144","58,921",114,"4,695","2,005",5,"6,839",
01/21/2021,09/20/2020,09/26/2020,By Week,2020,,39,09/26/2020,United States,"4,145","59,489",115,"4,833","2,055",4,"6,926",
01/21/2021,09/27/2020,10/03/2020,By Week,2020,,40,10/03/2020,United States,"4,043","58,196",111,"4,664","1,945",8,"6,770",
01/21/2021,10/04/2020,10/10/2020,By Week,2020,,41,10/10/2020,United States,"4,570","59,599",114,"4,935","2,239",13,"7,276",
01/21/2021,10/11/2020,10/17/2020,By Week,2020,,42,10/17/2020,United States,"4,904","57,991",109,"4,960","2,327",17,"7,547",
01/21/2021,10/18/2020,10/24/2020,By Week,2020,,43,10/24/2020,United States,"5,656","59,425",111,"5,370","2,598",16,"8,437",
01/21/2021,10/25/2020,10/31/2020,By Week,2020,,44,10/31/2020,United States,"6,566","60,460",112,"5,791","3,052",20,"9,320",
01/21/2021,11/01/2020,11/07/2020,By Week,2020,,45,11/07/2020,United States,"8,211","64,067",118,"6,688","3,842",21,"11,070",
01/21/2021,11/08/2020,11/14/2020,By Week,2020,,46,11/14/2020,United States,"10,008","65,288",119,"7,595","4,739",19,"12,876",
01/21/2021,11/15/2020,11/21/2020,By Week,2020,,47,11/21/2020,United States,"12,561","67,326",122,"8,879","5,971",28,"15,487",
01/21/2021,11/22/2020,11/28/2020,By Week,2020,,48,11/28/2020,United States,"14,469","68,275",124,"9,759","7,016",23,"17,223",
01/21/2021,11/29/2020,12/05/2020,By Week,2020,,49,12/05/2020,United States,"16,718","70,979",126,"10,967","8,044",31,"19,660",
01/21/2021,12/06/2020,12/12/2020,By Week,2020,,50,12/12/2020,United States,"17,374","72,174",126,"11,236","8,388",24,"20,235",
01/21/2021,12/13/2020,12/19/2020,By Week,2020,,51,12/19/2020,United States,"15,332","66,267",114,"10,169","7,491",23,"18,022",
01/21/2021,12/20/2020,12/26/2020,By Week,2020,,52,12/26/2020,United States,"9,085","53,334",91,"6,711","4,478",16,"11,327",
01/21/2021,12/27/2020,01/02/2021,By Week,,,53,01/02/2021,United States,"5,791","44,815",76,"4,886","2,963",11,"7,721",
01/21/2021,01/03/2021,01/09/2021,By Week,2021,,1,01/09/2021,United States,"4,796","36,487",59,"4,026","2,458",7,"6,370",
01/21/2021,01/10/2021,01/16/2021,By Week,2021,,2,01/16/2021,United States,"1,990","19,087",31,"1,779",968,4,"2,805",
01/21/2021,12/29/2019,01/04/2020,By Week,,,1,01/04/2020,Alabama,0,"1,081",94,63,0,,69,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/05/2020,01/11/2020,By Week,2020,,2,01/11/2020,Alabama,0,"1,127",96,79,0,10,89,
01/21/2021,01/12/2020,01/18/2020,By Week,2020,,3,01/18/2020,Alabama,0,"1,039",91,62,0,,65,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/19/2020,01/25/2020,By Week,2020,,4,01/25/2020,Alabama,0,"1,055",94,62,0,,69,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,01/26/2020,02/01/2020,By Week,2020,,5,02/01/2020,Alabama,0,"1,026",94,56,0,14,70,
01/21/2021,02/02/2020,02/08/2020,By Week,2020,,6,02/08/2020,Alabama,0,"1,119",101,61,0,10,71,
01/21/2021,02/09/2020,02/15/2020,By Week,2020,,7,02/15/2020,Alabama,0,"1,094",101,76,0,,82,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,02/16/2020,02/22/2020,By Week,2020,,8,02/22/2020,Alabama,0,"1,097",101,68,0,,73,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,02/23/2020,02/29/2020,By Week,2020,,9,02/29/2020,Alabama,0,"1,162",112,63,0,14,77,
01/21/2021,03/01/2020,03/07/2020,By Week,2020,,10,03/07/2020,Alabama,0,"1,054",101,58,0,13,71,
01/21/2021,03/08/2020,03/14/2020,By Week,2020,,11,03/14/2020,Alabama,0,"1,091",101,61,0,,68,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,03/15/2020,03/21/2020,By Week,2020,,12,03/21/2020,Alabama,,"1,058",103,71,,,79,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,03/22/2020,03/28/2020,By Week,2020,,13,03/28/2020,Alabama,23,"1,073",105,68,,,92,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,03/29/2020,04/04/2020,By Week,2020,,14,04/04/2020,Alabama,49,"1,156",112,65,11,,106,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,04/05/2020,04/11/2020,By Week,2020,,15,04/11/2020,Alabama,81,"1,134",111,85,27,,143,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,04/12/2020,04/18/2020,By Week,2020,,16,04/18/2020,Alabama,89,"1,144",116,94,26,0,157,
01/21/2021,04/19/2020,04/25/2020,By Week,2020,,17,04/25/2020,Alabama,83,"1,138",113,77,19,,142,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,04/26/2020,05/02/2020,By Week,2020,,18,05/02/2020,Alabama,81,"1,147",116,87,26,,143,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,05/03/2020,05/09/2020,By Week,2020,,19,05/09/2020,Alabama,116,"1,168",116,94,34,,176,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,05/10/2020,05/16/2020,By Week,2020,,20,05/16/2020,Alabama,94,"1,147",115,89,30,,154,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,05/17/2020,05/23/2020,By Week,2020,,21,05/23/2020,Alabama,79,"1,151",117,82,23,0,138,
01/21/2021,05/24/2020,05/30/2020,By Week,2020,,22,05/30/2020,Alabama,103,"1,106",113,95,30,,169,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,05/31/2020,06/06/2020,By Week,2020,,23,06/06/2020,Alabama,90,"1,169",116,86,32,,145,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,06/07/2020,06/13/2020,By Week,2020,,24,06/13/2020,Alabama,81,"1,134",120,76,29,0,128,
01/21/2021,06/14/2020,06/20/2020,By Week,2020,,25,06/20/2020,Alabama,88,"1,087",111,79,25,0,142,
01/21/2021,06/21/2020,06/27/2020,By Week,2020,,26,06/27/2020,Alabama,102,"1,148",123,83,30,0,155,
01/21/2021,06/28/2020,07/04/2020,By Week,2020,,27,07/04/2020,Alabama,121,"1,196",121,94,48,,167,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/21/2021,07/05/2020,07/11/2020,By Week,2020,,28,07/11/2020,Alabama,134,"1,258",127,95,36,0,193,
